Rank,City_Name,2020_Population,2010_Population,Change,Density
325,West Carson,"22,537","21,699",3.86%,"3,840"
326,Granite Bay,"22,439","20,402",9.98%,403
327,Willowbrook,"22,402","35,983",-37.74%,"5,593"
328,South Lake Tahoe,"22,382","21,410",4.54%,851
329,Millbrae,"22,305","21,573",3.39%,"2,649"
330,Port Hueneme,"22,133","21,707",1.96%,"1,932"
331,Yucca Valley,"21,942","20,699",6.01%,213
332,Bloomington,"21,783","23,851",-8.67%,"1,385"
333,Arvin,"21,782","19,346",12.59%,"1,745"
334,Lennox,"21,329","22,753",-6.26%,"7,531"
335,Duarte,"21,325","21,349",-0.11%,"1,227"
336,Rancho San Diego,"21,289","21,208",0.38%,945
337,Dixon,"21,237","18,407",15.37%,"1,161"
338,Shafter,"21,032","17,161",22.56%,210
339,South El Monte,"20,837","20,104",3.65%,"2,830"
340,East Hemet,"20,679","17,418",18.72%,"1,535"
341,Albany,"20,600","18,563",10.97%,"4,446"
342,South San Jose Hills,"20,593","20,551",0.20%,"5,273"
343,Lomita,"20,417","20,267",0.74%,"4,123"
344,Agoura Hills,"20,286","20,331",-0.22%,"1,004"
345,Ramona,"20,260","20,292",-0.16%,204
346,Orinda,"20,152","17,812",13.14%,605
347,Rosamond,"20,028","18,150",10.35%,148
348,La Ca\u00c3\u00b1ada Flintridge,"20,027","20,259",-1.15%,896
349,American Canyon,"19,995","19,637",1.82%,"1,268"
350,Mead Valley,"19,925","18,510",7.64%,403
351,Cameron Park,"19,902","18,228",9.18%,684
352,Coronado,"19,870","23,963",-17.08%,962
353,Corcoran,"19,846","24,456",-18.85%,"1,039"
354,Blythe,"19,779","20,568",-3.84%,287
355,Casa de Oro-Mount Helix,"19,635","18,762",4.65%,"1,107"
356,Prunedale,"19,584","17,560",11.53%,164
357,La Crescenta-Montrose,"19,500","19,653",-0.78%,"2,196"
358,Oroville,"19,456","18,702",4.03%,543
359,Chowchilla,"19,389","18,716",3.60%,675
360,Stevenson Ranch,"19,364","17,557",10.29%,"1,176"
361,Linda,"19,314","17,773",8.67%,869
362,Pinole,"19,302","18,377",5.03%,"1,460"
363,Hermosa Beach,"19,203","19,505",-1.55%,"5,200"
364,Castaic,"18,921","19,015",-0.49%,"1,006"
365,Rancho Mirage,"18,672","17,218",8.44%,284
366,Arcata,"18,353","17,671",3.86%,756
367,Imperial,"18,349","14,837",23.67%,"1,136"
368,Arroyo Grande,"18,131","17,300",4.80%,"1,179"
369,Moraga,"17,994","16,057",12.06%,734
370,Greenfield,"17,664","16,415",7.61%,"3,193"
371,Santa Fe Springs,"17,658","16,256",8.62%,768
372,Bostonia,"17,530","15,379",13.99%,"3,515"
373,Nipomo,"17,445","16,714",4.37%,453
374,Live Oak,"17,390","17,158",1.35%,"2,071"
375,Woodcrest,"17,310","14,347",20.65%,587
376,Vincent,"17,008",,,"4,460"
377,Valle Vista,"16,879","14,578",15.78%,949
378,Coalinga,"16,850","18,068",-6.74%,989
379,Truckee,"16,849","16,165",4.23%,201
380,Rosedale,"16,737","14,058",19.06%,221
381,East Rancho Dominguez,"16,734","15,135",10.56%,"7,860"
382,Artesia,"16,714","16,520",1.17%,"3,982"
383,McKinleyville,"16,612","15,177",9.46%,307
384,El Segundo,"16,555","16,654",-0.59%,"1,170"
385,Ukiah,"16,437","16,020",2.60%,"1,327"
386,Cherryland,"16,387","14,728",11.26%,"5,280"
387,Los Osos,"16,292","14,276",14.12%,493
388,Ripon,"16,290","14,335",13.64%,"1,181"
389,McFarland,"16,218","12,724",27.46%,"2,347"
390,Fillmore,"16,113","15,017",7.30%,"1,850"
391,Susanville,"16,077","17,725",-9.30%,781
392,Walnut Park,"16,034","15,966",0.43%,"8,279"
393,Discovery Bay,"15,981","13,352",19.69%,"1,634"
394,East San Gabriel,"15,932","14,874",7.11%,"3,939"
395,Avocado Heights,"15,903","15,411",3.19%,"2,269"
396,Parkway,"15,885","14,670",8.28%,"2,552"
397,Laguna Woods,"15,816","16,068",-1.57%,"1,826"
398,Kerman,"15,693","13,635",15.09%,"1,855"
399,Stanford,"15,668","13,809",13.46%,"2,204"
400,Mountain House,"15,645","9,675",61.71%,"1,892"
401,Pacific Grove,"15,534","15,082",3.00%,"2,098"
402,Phelan,"15,532","14,304",8.59%,100
403,Rio Linda,"15,460","15,106",2.34%,604
404,Clearlake,"15,436","15,266",1.11%,588
405,Parlier,"15,434","14,526",6.25%,"2,474"
406,La Palma,"15,376","15,543",-1.07%,"3,329"
407,Alamo,"15,317","14,570",5.13%,611
408,Alpine,"15,233","14,236",7.00%,220
409,Lamont,"15,222","15,120",0.67%,"1,280"
410,Coto de Caza,"14,931","14,866",0.44%,747
411,Livingston,"14,745","13,069",12.82%,"1,549"
412,California City,"14,677","13,467",8.98%,28
413,Salida,"14,658","13,722",6.82%,"1,070"
414,North Fair Oaks,"14,547","14,687",-0.95%,"4,688"
415,Red Bluff,"14,463","14,087",2.67%,739
416,King City,"14,265","12,903",10.56%,"1,414"
417,Auburn,"14,215","13,345",6.52%,765
418,Hawaiian Gardens,"14,189","14,279",-0.63%,"5,778"
419,Mill Valley,"14,151","13,922",1.64%,"1,147"
420,Lemon Hill,"14,096","13,729",2.67%,"3,328"
421,El Sobrante,"13,966","12,723",9.77%,746
422,El Sobrante,"13,736","12,669",8.42%,"1,918"
423,Oak Park,"13,730","13,811",-0.59%,"1,001"
424,Muscoy,"13,726","10,644",28.96%,"1,755"
425,North Auburn,"13,707","13,022",5.26%,680
426,Grover Beach,"13,550","13,169",2.89%,"2,262"
427,Lindsay,"13,546","11,764",15.15%,"1,914"
428,Sun Village,"13,516","11,565",16.87%,483
429,Carpinteria,"13,339","13,012",2.51%,"1,990"
430,Solana Beach,"13,333","12,898",3.37%,"1,509"
431,Bonita,"13,324","12,538",6.27%,"1,026"
432,Big Bear City,"13,312","12,304",8.19%,161
433,Olivehurst,"13,309","13,656",-2.54%,689
434,Palos Verdes Estates,"13,250","13,436",-1.38%,"1,072"
435,Lakeland Village,"13,170","11,541",14.11%,579
436,Avenal,"13,150","15,279",-13.93%,261
437,Half Moon Bay,"13,113","11,345",15.58%,788
438,San Marino,"13,092","13,110",-0.14%,"1,342"
439,Grass Valley,"12,948","12,875",0.57%,952
440,Marysville,"12,880","12,094",6.50%,"1,436"
441,Grand Terrace,"12,780","12,064",5.94%,"1,407"
442,Malibu,"12,693","12,640",0.42%,247
443,Commerce,"12,690","12,844",-1.20%,749
444,Magalia,"12,671","11,310",12.03%,349
445,Tehachapi,"12,616","14,367",-12.19%,480
446,Fortuna,"12,442","11,991",3.76%,915
447,Clayton,"12,424","10,958",13.38%,"1,249"
448,Kingsburg,"12,411","11,407",8.80%,"1,293"
449,San Anselmo,"12,411","12,315",0.78%,"1,790"
450,Larkspur,"12,226","11,947",2.34%,"1,561"
451,Newman,"12,120","10,275",17.96%,"2,270"
452,Healdsburg,"12,086","11,309",6.87%,"1,045"
453,Emeryville,"12,002","10,120",18.60%,"3,650"
454,Diamond Springs,"11,989","11,037",8.63%,278
455,Scotts Valley,"11,804","11,581",1.93%,987
456,Alum Rock,"11,791","15,536",-24.11%,"5,405"
457,Winton,"11,761","10,613",10.82%,"1,493"
458,Delhi,"11,735","10,755",9.11%,"1,291"
459,View Park-Windsor Hills,"11,580","11,075",4.56%,"2,428"
460,Lake Los Angeles,"11,469","12,328",-6.97%,455
461,Camp Pendleton South,"11,459","10,616",7.94%,"1,130"
462,Placerville,"11,458","10,467",9.47%,757
463,Signal Hill,"11,453","11,018",3.95%,"2,019"
464,Canyon Lake,"11,451","10,605",7.98%,"1,130"
465,Home Gardens,"11,442","11,570",-1.11%,"2,923"
466,Mendota,"11,418","11,174",2.18%,"1,302"
467,Los Alamitos,"11,401","11,436",-0.31%,"1,094"
468,Hillsborough,"11,386","10,846",4.98%,710
469,Sonoma,"11,300","10,663",5.97%,"1,590"
470,Tamalpais-Homestead Valley,"11,261","10,735",4.90%,928
471,Rossmoor,"11,160","10,244",8.94%,"2,792"
472,Piedmont,"11,152","10,701",4.21%,"2,533"
473,Soquel,"10,862","9,644",12.63%,912
474,La Riviera,"10,851","10,802",0.45%,"2,205"
475,Anderson,"10,844","9,940",9.09%,595
476,Sierra Madre,"10,815","10,917",-0.93%,"1,414"
477,Farmersville,"10,805","10,585",2.08%,"1,862"
478,Citrus,"10,771","10,866",-0.87%,"4,689"
479,Garden Acres,"10,701","10,648",0.50%,"1,599"
480,Exeter,"10,583","10,342",2.33%,"1,659"
481,Morro Bay,"10,577","10,245",3.24%,767
482,Rodeo,"10,411","8,679",19.96%,"1,074"
483,East Whittier,"10,391",,,"3,679"
484,San Diego Country Estates,"10,381","10,109",2.69%,239
485,Shasta Lake,"10,380","10,146",2.31%,367
486,Fairview,"10,299","10,003",2.96%,"1,445"
487,Quartz Hill,"10,164","10,912",-6.85%,"1,043"
488,Del Aire,"10,065","10,001",0.64%,"3,840"
489,Capitola,"10,024","9,917",1.08%,"2,429"
490,Rio Vista,"9,949","7,384",34.74%,584
491,Madera Acres,"9,946","9,163",8.55%,527
492,Ione,"9,923","7,747",28.09%,836
493,Blackhawk,"9,860","9,354",5.41%,657
494,Mentone,"9,847","8,720",12.92%,622
495,Country Club,"9,846","9,379",4.98%,"1,983"
496,Rio del Mar,"9,775","9,216",6.07%,"1,258"
497,Marina del Rey,"9,771","8,866",10.21%,"4,399"
498,Lake Arrowhead,"9,765","12,424",-21.40%,213
499,Charter Oak,"9,760","9,310",4.83%,"4,061"
500,Corte Madera,"9,706","9,274",4.66%,"1,186"
